              0              0                               פריט כללי000000000000                    0000000.00                                                                                  0000000.00
              1              1                               מוצר כללי0000-4000000                    0000001.00                                             009999                          מבוטל0000000.00
             10             10                            הנחה 10 אחוז000000000000                    0000165.00                                             003059                   חצי כוס סוכר0000000.00
             12             12                סיר פסטה איטליה גיל חובב000000000000                    0000163.00                                             052362                    ביג ניוקאסל0000000.00
             15             15                               שובר מתנה000000000000                    0000425.00                                             000001                           כללי0000000.00
             17             17                כוס אספרסו לב דופן כפולה000000000000                    0000011.00                                             512356              טולמנס ישראל בע"מ0000000.00
             18             18                                 אחד חכם000000000000                    0000030.00                                             789446                           נישה0000000.00
             20             20                            הנחה 20 אחוז000000000000                    0000720.00                                             003059                   חצי כוס סוכר0000000.00
             21             21                         אכול כפי יכולתך000000000000                    0000025.00                                             789446                           נישה0000000.00
             47             47                     מכסה 28 נירוסטה לוק000000000000                    0000038.97                                             006388                           דנהל0000000.00
             51             51                       קופסת עוגיות UWUW000000000000                    0000001.00                                             741852                           סופי0000000.00
             54             54                           קופסת UWUW תה000000000000                    0000001.00                                             741852                           סופי0000000.00
             55             55                          קופסת UWUW קפה000000000000                    0000001.00                                             741852                           סופי0000000.00
             56             56                         קופסת UWUW סוכר000000000000                    0000001.00                                             741852                           סופי0000000.00
            100            100                                מתנה 100000000000000                    0000001.00                                             000001                           כללי0000000.00
            106            106                    LIVINGWARE צלחת עוגה000000000000                    0000017.54                                             658745                       שקל בע"מ0000000.00
            113            113                               כרית סופי000000000000                    0000001.00                                             741852                           סופי0000000.00
            152            152                         מטחנת גבינה כוס000000000000                    0000013.66                                             003058                     דאבמי בע"מ0000000.00
            160            160                       מכשיר להכנת צ'יפס000000000000                    0000029.66                                             003058                     דאבמי בע"מ0000000.00
            161            161                         גריל חצילים לגז000000000000                    0000016.10                                             003058                     דאבמי בע"מ0000000.00
            192            192                         מטחנת זרעי פשתן000000000000                    0000059.30                                             902104           סהר שיווק והפצה בע"מ0000000.00
            196            196                       סלסלת פלסטיק סופי000000000000                    0000001.00                                             741852                           סופי0000000.00
            200            200                                מתנה 200000000000000                    0000001.00                                             000001                           כללי0000000.00
            238            238                          8558713100927E000000000000                    0000001.00                                             000001                           כללי0000000.00
            309            309                      כף עץ 35 סמ איטלקי000000000000                    0000003.40                                             003058                     דאבמי בע"מ0000000.00
            311            311                             כף עץ שטוחה000000000000                    0000002.13                                             003058                     דאבמי בע"מ0000000.00
            345            345                                      'ד000000000000                    0000001.00                                             000004                    שם לא נימצא0000000.00
            359            359                       קערת YLEVOL כחלון000000000000                    0000085.00                                             003018                 יערה ניר כחלון0000000.00
            391            391                               גפטו מחדד000000000000                    0000013.00                                             123123  מונקי ביזנס דיזיין ישראל בע"מ0000000.00
            399            399                            פותחן מלצרים000000000000                    0000009.00                                             003058                     דאבמי בע"מ0000000.00
            411            411                           ברכה ביסקוויט000000000000                    0000001.00                                             001188                          טייסט0000000.00
            418            418                        קורנינג מרק פסטה000000000000                    0000021.93                                             658745                       שקל בע"מ0000000.00
            422            422                                מצנן יין000000000000                    0000034.00                                             011619                     מוסט וונטד0000000.00
            464            464                   פינגאן נירוסטה 650 מל000000000000                    0000013.68                                             003058                     דאבמי בע"מ0000000.00
            465            465                   פינגאן נירוסטה 850 מל000000000000                    0000015.39                                             003058                     דאבמי בע"מ0000000.00
            473            473                       קוקוס קלוי 051 גר000000000000                    0000001.00                                             001188                          טייסט0000000.00
            489            489                   פינגאן נירוסטה 350 מל000000000000                    0000011.12                                             003058                     דאבמי בע"מ0000000.00
            490            490                                מקל לקרפ000000000000                    0000004.23                                             003058                     דאבמי בע"מ0000000.00
            493            493                              קשת מרקרים000000000000                    0000017.00                                             003056                         אוטוטו0000000.00
            500    500Stickers                    מדבקת ברכה בגליל 500000000000000                    0000059.00                                             003001          הבונבוניירי של סימונה0000000.00
            523            523                         כרטיס ברכה סופי000000000000                    0000001.00                                             741852                           סופי0000000.00
            551            551                  קערת מלמין פסים S סופי000000000000                    0000001.00                                             741852                           סופי0000000.00
            552            552                  קערת מלמין פסים M סופי000000000000                    0000001.00                                             741852                           סופי0000000.00
            553            553                  קערת מלמין פסים L סופי000000000000                    0000001.00                                             741852                           סופי0000000.00
            555            555                                   משלוח000000000000                    0000001.00                                             009002       מורפק פתרונות אריזה בע"מ0000000.00
            558            558                             מיני הודעות000000000000                    0000020.00                                             123123  מונקי ביזנס דיזיין ישראל בע"מ0000000.00
            583            583                         מערוך חלק 50 סמ000000000000                    0000012.00                                             003058                     דאבמי בע"מ0000000.00
            622            622                           שמפנייר טבעות000000000000                    0000042.00                                             011619                     מוסט וונטד0000000.00
            628            628                 שוקולד ציפס מריר 003 גר000000000000                    0000001.00                                             001188                          טייסט0000000.00
            650            650                            זיכוי טולמנס000000000000                    0000643.50                                             512356              טולמנס ישראל בע"מ0000000.00
            651            651                  שוקולד ציפס חלב 003 גר000000000000                    0000001.00                                             001188                          טייסט0000000.00
            684            684                  מחית נוגט לובקה 052 גר000000000000                    0000001.00                                             001188                          טייסט0000000.00
            729            729                             הנחה 8 אחוז000000000000                    0000317.28                                             512356              טולמנס ישראל בע"מ0000000.00
            758            758                            ממו מאונטיין000000000000                    0000017.00                                             123123  מונקי ביזנס דיזיין ישראל בע"מ0000000.00
            802            802                    לובקה לבן %33 005 גר000000000000                    0000001.00                                             001188                          טייסט0000000.00
            803            803                        לובקה חלב 005 גר000000000000                    0000001.00                                             001188                          טייסט0000000.00
            839            839                   לובקה מריר %07 005 גר000000000000                    0000001.00                                             001188                          טייסט0000000.00
            907            907                           השתתפות במבצע000000000000                    0000001.00                                             658745                       שקל בע"מ0000000.00
            935            935                      תיקון הנחה קורנינג000000000000                    0000937.03                                             658745                       שקל בע"מ0000000.00
            957            957                           תנור שום כחול000000000000                    0000001.00                                             147258  אדמה סטודיו לקרמיקה 2012 בע"מ0000000.00
            959            959                    כלי לצליית חציל כחול000000000000                    0000001.00                                             147258  אדמה סטודיו לקרמיקה 2012 בע"מ0000000.00
            960            960                          קונוס עוף כחול000000000000                    0000001.00                                             147258  אדמה סטודיו לקרמיקה 2012 בע"מ0000000.00
            961            961                קונוס עוף עם צלוחית כחול000000000000                    0000001.00                                             147258  אדמה סטודיו לקרמיקה 2012 בע"מ0000000.00
            962            962                         קערה 82 סמ כחול000000000000                    0000001.00                                             147258  אדמה סטודיו לקרמיקה 2012 בע"מ0000000.00
            964            964                          בול 61 סמ כחול000000000000                    0000001.00                                             147258  אדמה סטודיו לקרמיקה 2012 בע"מ0000000.00
            965            965                         קערה 32 סמ כחול000000000000                    0000001.00                                             147258  אדמה סטודיו לקרמיקה 2012 בע"מ0000000.00
            967            967                         מקציף כדור מתכת000000000000                    0000009.49                                             003016     מ.ג.א סחר ועיצוב פנים בע"מ0000000.00
           1000           1000                          מגנט רטרו גדול000000000000                    0000009.00                                             058632                  דנדוש עיצובים0000000.00
           1028           1028                     צלוחית חטיפים קקטוס000000000000                    0000019.00                                             253214            הפינס צ.ד יזמות בעמ0000000.00
           1032      102774133                              תרמוס פסים000000000000                    0000051.29                                             000006      קולקשן עיצוב תל-אביב בע"מ0000000.00
